epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3063,0.63021,0.48082,0.94132,0.93021,0.95851,0.96865,0.84494,0.51027,0.36426,0.83552,0.0669345,3.30688e-06,3.30688e-06
2,58.2473,0.52098,0.39905,0.91313,0.93326,0.98529,0.97012,0.8818,0.40943,0.28402,0.81259,0.0336042,6.31152e-06,6.31152e-06
3,86.4691,0.48811,0.36503,0.90311,0.9395,0.9759,0.97209,0.89329,0.37693,0.26494,0.80697,0.000273536,8.98616e-06,8.98616e-06
4,113.94,0.4571,0.3463,0.89864,0.93494,0.9863,0.97005,0.89662,0.36439,0.25512,0.80349,8.515e-06,8.515e-06,8.515e-06
5,142.316,0.45095,0.34166,0.89327,0.94094,0.98689,0.97514,0.90294,0.35581,0.2443,0.80048,8.02e-06,8.02e-06,8.02e-06
6,170.178,0.44587,0.34503,0.89212,0.9456,0.98772,0.97444,0.90333,0.35202,0.23938,0.79891,7.525e-06,7.525e-06,7.525e-06
7,198.386,0.4392,0.33422,0.89013,0.95227,0.98772,0.97859,0.9061,0.35032,0.23788,0.79757,7.03e-06,7.03e-06,7.03e-06
8,226.116,0.42813,0.32984,0.88318,0.95253,0.98628,0.97857,0.91177,0.34658,0.23395,0.79725,6.535e-06,6.535e-06,6.535e-06
9,253.867,0.42577,0.32306,0.88305,0.94899,0.9863,0.97788,0.912,0.34117,0.23202,0.79611,6.04e-06,6.04e-06,6.04e-06
10,281.617,0.42625,0.32053,0.88913,0.94369,0.98907,0.97882,0.91255,0.33936,0.23098,0.79576,5.545e-06,5.545e-06,5.545e-06
11,309.384,0.41574,0.31784,0.88265,0.95239,0.98327,0.98009,0.91449,0.33689,0.22679,0.79453,5.05e-06,5.05e-06,5.05e-06
12,336.946,0.41795,0.31786,0.88465,0.95624,0.98229,0.98153,0.91701,0.33539,0.22583,0.79432,4.555e-06,4.555e-06,4.555e-06
13,364.614,0.40348,0.30765,0.87613,0.9532,0.98829,0.98185,0.91755,0.33362,0.22519,0.79389,4.06e-06,4.06e-06,4.06e-06
14,392.259,0.41708,0.31638,0.88713,0.95719,0.98429,0.98267,0.9173,0.33381,0.223,0.79366,3.565e-06,3.565e-06,3.565e-06
15,419.569,0.40637,0.31071,0.88411,0.95665,0.98438,0.98261,0.91795,0.33165,0.22149,0.79387,3.07e-06,3.07e-06,3.07e-06
16,447.278,0.40477,0.30482,0.8806,0.95826,0.98567,0.98284,0.92012,0.33085,0.22006,0.79287,2.575e-06,2.575e-06,2.575e-06
17,475.377,0.40877,0.31591,0.88518,0.95789,0.98587,0.98294,0.91945,0.32929,0.21861,0.79272,2.08e-06,2.08e-06,2.08e-06
18,503.487,0.39813,0.30626,0.88142,0.95771,0.98687,0.98312,0.92035,0.33053,0.21823,0.79237,1.585e-06,1.585e-06,1.585e-06
19,530.984,0.40956,0.31264,0.88315,0.95723,0.98812,0.98336,0.92106,0.32874,0.21807,0.79185,1.09e-06,1.09e-06,1.09e-06
20,558.316,0.40763,0.31024,0.88237,0.95805,0.98571,0.98353,0.92116,0.32866,0.21727,0.79193,5.95e-07,5.95e-07,5.95e-07
