epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,639.221,1.25009,1.60983,1.24452,0.98156,0.99178,0.99211,0.78894,0.76747,0.43442,0.88761,0.00333222,0.00333222,0.00333222
2,1172.97,1.18856,0.90275,1.19811,0.97796,0.98912,0.99361,0.80982,0.71557,0.3953,0.87991,0.00659957,0.00659957,0.00659957
3,1689.92,1.22976,0.85647,1.23258,0.9892,0.98604,0.9931,0.82132,0.73136,0.38112,0.88126,0.00980091,0.00980091,0.00980091
4,2217.22,1.21595,0.81077,1.22707,0.99539,0.99233,0.99444,0.8406,0.67157,0.33087,0.86472,0.009703,0.009703,0.009703
5,2741.94,1.14167,0.7222,1.1875,0.99091,0.99086,0.99383,0.85216,0.64634,0.30785,0.85632,0.009604,0.009604,0.009604
6,3257.3,1.10364,0.67828,1.16749,0.99165,0.99479,0.99387,0.85727,0.62115,0.29098,0.85105,0.009505,0.009505,0.009505
7,3772.64,1.06949,0.64564,1.14721,0.98603,0.99688,0.99248,0.85872,0.62075,0.28143,0.84554,0.009406,0.009406,0.009406
8,4291.39,1.0421,0.62501,1.13331,0.98791,0.99732,0.99354,0.86881,0.59459,0.27099,0.84284,0.009307,0.009307,0.009307
9,4961.78,1.02508,0.60499,1.12161,0.99132,0.99617,0.99422,0.87809,0.58691,0.25472,0.837,0.009208,0.009208,0.009208
10,5506.82,1.01065,0.59105,1.11552,0.99459,0.98984,0.99421,0.8806,0.57485,0.24675,0.83254,0.009109,0.009109,0.009109
11,6047.76,0.99712,0.58089,1.11001,0.98559,0.99683,0.99402,0.88281,0.56666,0.24481,0.82927,0.00901,0.00901,0.00901
12,6591.95,0.98723,0.56802,1.10568,0.98992,0.99789,0.99392,0.88337,0.56605,0.23833,0.82866,0.008911,0.008911,0.008911
13,7138.39,0.97657,0.55925,1.09831,0.99006,0.99427,0.99442,0.88659,0.55854,0.23392,0.82561,0.008812,0.008812,0.008812
14,7682.66,0.96991,0.55295,1.09335,0.99494,0.9886,0.99454,0.88894,0.55671,0.23234,0.82451,0.008713,0.008713,0.008713
15,8228.49,0.96089,0.54639,1.08958,0.99659,0.98895,0.99439,0.88882,0.55249,0.22545,0.8232,0.008614,0.008614,0.008614
16,8774.2,0.95431,0.54211,1.08907,0.98826,0.99684,0.99461,0.89179,0.54871,0.22427,0.82284,0.008515,0.008515,0.008515
17,9317.31,0.94861,0.53448,1.08427,0.98783,0.99716,0.99484,0.89066,0.54849,0.2234,0.82198,0.008416,0.008416,0.008416
18,9862.42,0.93656,0.52791,1.07749,0.98804,0.99697,0.99467,0.89256,0.54798,0.22177,0.82155,0.008317,0.008317,0.008317
19,10406.8,0.93296,0.52129,1.0738,0.9872,0.99679,0.99467,0.89279,0.54604,0.21937,0.82063,0.008218,0.008218,0.008218
20,10950.9,0.9301,0.5219,1.07501,0.98556,0.99903,0.99476,0.89268,0.54615,0.21822,0.82031,0.008119,0.008119,0.008119
21,11494.6,0.92239,0.51264,1.07113,0.98593,0.99849,0.99475,0.89267,0.54441,0.21693,0.81984,0.00802,0.00802,0.00802
22,12168.1,0.91554,0.51045,1.06888,0.98569,0.99902,0.99479,0.8933,0.54313,0.21565,0.81957,0.007921,0.007921,0.007921
23,12708.1,0.91331,0.50857,1.06797,0.98788,0.99669,0.99481,0.89326,0.54245,0.21481,0.81912,0.007822,0.007822,0.007822
24,13247.2,0.90847,0.50086,1.06322,0.98711,0.99688,0.99486,0.89344,0.54214,0.2144,0.81892,0.007723,0.007723,0.007723
25,13789.2,0.90392,0.50031,1.06503,0.9861,0.99771,0.9949,0.89383,0.54082,0.21387,0.81861,0.007624,0.007624,0.007624
26,14329.8,0.90194,0.49835,1.06241,0.98653,0.99766,0.9949,0.89386,0.54003,0.2137,0.81842,0.007525,0.007525,0.007525
27,14871.3,0.89637,0.49302,1.05906,0.98715,0.99822,0.9949,0.89405,0.53873,0.21297,0.81806,0.007426,0.007426,0.007426
28,15411.4,0.89236,0.4903,1.05757,0.98715,0.99822,0.9949,0.89478,0.53754,0.21237,0.81775,0.007327,0.007327,0.007327
29,15952.3,0.88991,0.48698,1.05539,0.98678,0.99816,0.9949,0.89536,0.53631,0.2115,0.81741,0.007228,0.007228,0.007228
30,16497.2,0.88657,0.48777,1.05655,0.98805,0.99686,0.99491,0.8955,0.53544,0.21072,0.81712,0.007129,0.007129,0.007129
31,17040.4,0.88234,0.48175,1.05305,0.99482,0.99005,0.99489,0.89579,0.53483,0.20989,0.81691,0.00703,0.00703,0.00703
32,17582.4,0.88234,0.48021,1.05383,0.98806,0.99677,0.99489,0.89673,0.53443,0.21001,0.81672,0.006931,0.006931,0.006931
33,18124.2,0.87667,0.48117,1.05307,0.9868,0.99774,0.9949,0.89591,0.53348,0.20956,0.8165,0.006832,0.006832,0.006832
34,18668.9,0.86751,0.47126,1.04755,0.98713,0.99808,0.99488,0.89619,0.53246,0.2094,0.81629,0.006733,0.006733,0.006733
35,19213.8,0.87041,0.47167,1.04715,0.98721,0.99808,0.99487,0.89653,0.53154,0.20869,0.81598,0.006634,0.006634,0.006634
36,19758.7,0.86432,0.47104,1.04548,0.99586,0.98955,0.99487,0.89715,0.53087,0.20857,0.81567,0.006535,0.006535,0.006535
37,20301,0.86319,0.46491,1.04288,0.99639,0.98949,0.99489,0.89722,0.53032,0.20747,0.81556,0.006436,0.006436,0.006436
38,20845.1,0.86055,0.46627,1.04283,0.99697,0.98928,0.9949,0.89733,0.52959,0.20675,0.81539,0.006337,0.006337,0.006337
39,21369.4,0.8567,0.46113,1.04006,0.9977,0.98933,0.99491,0.89828,0.52929,0.20649,0.81515,0.006238,0.006238,0.006238
40,21896.8,0.85309,0.45986,1.0415,0.99789,0.98953,0.99491,0.8985,0.52903,0.20604,0.815,0.006139,0.006139,0.006139
41,22423,0.84946,0.45455,1.03737,0.99783,0.98964,0.99491,0.89833,0.52829,0.20499,0.81475,0.00604,0.00604,0.00604
42,22960.2,0.8468,0.4552,1.03701,0.99784,0.98977,0.99492,0.8982,0.52755,0.20413,0.81447,0.005941,0.005941,0.005941
43,23505,0.84376,0.45445,1.03553,0.99769,0.98972,0.99493,0.89918,0.52693,0.20366,0.81424,0.005842,0.005842,0.005842
44,24047.5,0.84206,0.45065,1.03355,0.99773,0.98969,0.99488,0.89912,0.5259,0.20304,0.81401,0.005743,0.005743,0.005743
45,24593.8,0.84011,0.45053,1.0336,0.99664,0.98976,0.99494,0.8997,0.52523,0.20296,0.81376,0.005644,0.005644,0.005644
46,25137.2,0.83601,0.44698,1.03273,0.99614,0.99008,0.99495,0.90001,0.52461,0.20247,0.81351,0.005545,0.005545,0.005545
47,25680.8,0.8335,0.44569,1.02971,0.99614,0.99069,0.99495,0.90002,0.5245,0.20185,0.81348,0.005446,0.005446,0.005446
48,26223.4,0.83388,0.44343,1.03101,0.99613,0.99094,0.99494,0.90118,0.52424,0.20132,0.81337,0.005347,0.005347,0.005347
49,26767.5,0.82721,0.44142,1.02991,0.99657,0.99087,0.99496,0.90026,0.52359,0.20071,0.8131,0.005248,0.005248,0.005248
50,27308.1,0.82723,0.4393,1.02981,0.99626,0.99088,0.99497,0.90056,0.52307,0.2003,0.81297,0.005149,0.005149,0.005149
51,27832.8,0.82754,0.43731,1.02911,0.99613,0.99084,0.99497,0.90141,0.52221,0.20026,0.81277,0.00505,0.00505,0.00505
52,28358.6,0.82166,0.4365,1.02684,0.99424,0.99311,0.99497,0.90154,0.52126,0.1995,0.81247,0.004951,0.004951,0.004951
53,28901.3,0.81884,0.4347,1.02513,0.99341,0.99426,0.99497,0.90244,0.52014,0.19936,0.81226,0.004852,0.004852,0.004852
54,29431.5,0.81572,0.43148,1.02422,0.99371,0.99431,0.99497,0.90212,0.51947,0.19897,0.81203,0.004753,0.004753,0.004753
55,29957.3,0.81162,0.43014,1.02147,0.99379,0.99431,0.99496,0.90279,0.51858,0.19853,0.81178,0.004654,0.004654,0.004654
56,30485.8,0.81013,0.42845,1.02129,0.99391,0.99431,0.99495,0.90331,0.51777,0.19814,0.81155,0.004555,0.004555,0.004555
57,31027,0.80856,0.42672,1.0205,0.99405,0.99426,0.99496,0.90234,0.51755,0.19792,0.81138,0.004456,0.004456,0.004456
58,31570.8,0.80455,0.42391,1.01792,0.99424,0.9939,0.99497,0.90188,0.51674,0.19801,0.81109,0.004357,0.004357,0.004357
59,32113.8,0.8023,0.42261,1.01702,0.99424,0.9938,0.99497,0.90225,0.51628,0.19704,0.81097,0.004258,0.004258,0.004258
60,32659.1,0.80218,0.42158,1.01767,0.99421,0.99389,0.99497,0.9026,0.51575,0.19655,0.81072,0.004159,0.004159,0.004159
