epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,511.938,1.40332,1.91679,1.39482,0.81169,0.88351,0.9352,0.68993,0.91163,0.82979,0.9675,0.00333173,0.00333173,0.00333173
2,1010.13,1.37499,1.2134,1.34699,0.933,0.87205,0.94007,0.66438,1.14345,0.86556,1.05045,0.00663207,0.00663207,0.00663207
3,1495.96,1.43822,1.22062,1.40431,0.85283,0.69625,0.80959,0.56717,1.1979,1.19922,1.14013,0.00989941,0.00989941,0.00989941
4,1983.45,1.43685,1.19491,1.42311,0.92403,0.80027,0.92507,0.70451,0.92707,0.78441,1.02197,0.0098515,0.0098515,0.0098515
5,2470.32,1.36325,1.0644,1.37004,0.92169,0.82696,0.92625,0.7174,0.91549,0.75483,1.02693,0.009802,0.009802,0.009802
6,2956.37,1.32212,0.99841,1.34764,0.9191,0.87765,0.93968,0.70372,1.04404,0.73813,1.05232,0.0097525,0.0097525,0.0097525
7,3442.29,1.2981,0.95595,1.32914,0.87863,0.88424,0.94668,0.74547,0.85883,0.66296,0.98813,0.009703,0.009703,0.009703
8,3927.77,1.27613,0.91676,1.30885,0.90103,0.83688,0.93561,0.73335,0.89194,0.71116,0.99409,0.0096535,0.0096535,0.0096535
9,4412.8,1.25631,0.89504,1.30023,0.90723,0.87429,0.9421,0.74601,0.86491,0.67598,0.98762,0.009604,0.009604,0.009604
10,4898.15,1.25025,0.87552,1.29397,0.92184,0.87433,0.94663,0.75287,0.84193,0.6442,0.97923,0.0095545,0.0095545,0.0095545
11,5384.69,1.2394,0.86601,1.28534,0.94388,0.8944,0.9526,0.75427,0.86175,0.63334,0.98513,0.009505,0.009505,0.009505
12,5870.54,1.23088,0.8492,1.27697,0.94871,0.88277,0.95195,0.75627,0.85653,0.62901,0.98431,0.0094555,0.0094555,0.0094555
13,6356.33,1.22428,0.83631,1.27292,0.93806,0.88442,0.95372,0.75363,0.87752,0.62794,0.98931,0.009406,0.009406,0.009406
14,6842.33,1.21698,0.82899,1.26632,0.92896,0.85328,0.94603,0.75258,0.86978,0.6685,0.99197,0.0093565,0.0093565,0.0093565
15,7328.38,1.2148,0.82385,1.26606,0.93031,0.85465,0.94808,0.75466,0.86833,0.65659,0.988,0.009307,0.009307,0.009307
16,7814.12,1.20471,0.81468,1.25389,0.93678,0.87132,0.94992,0.75616,0.86585,0.64705,0.98569,0.0092575,0.0092575,0.0092575
17,8300.25,1.20556,0.80978,1.25956,0.92937,0.8771,0.94982,0.75495,0.87225,0.64676,0.98718,0.009208,0.009208,0.009208
18,8786.15,1.20059,0.80771,1.25639,0.93317,0.87675,0.951,0.7544,0.88036,0.64761,0.98911,0.0091585,0.0091585,0.0091585
19,9271.38,1.19318,0.80123,1.24698,0.93105,0.87382,0.95073,0.75429,0.88255,0.64907,0.98914,0.009109,0.009109,0.009109
20,9757.62,1.18821,0.78869,1.24522,0.93156,0.87365,0.95071,0.75457,0.88224,0.64709,0.98856,0.0090595,0.0090595,0.0090595
21,10243.8,1.18977,0.78534,1.24221,0.93025,0.87987,0.95214,0.75564,0.8788,0.63687,0.98724,0.00901,0.00901,0.00901
22,10729.1,1.18303,0.78309,1.23822,0.9267,0.8851,0.95253,0.75551,0.88231,0.63436,0.98858,0.0089605,0.0089605,0.0089605
23,11214.5,1.18074,0.77649,1.23479,0.92596,0.88768,0.952,0.75525,0.88082,0.6351,0.98732,0.008911,0.008911,0.008911
24,11699.7,1.17715,0.77135,1.23432,0.92247,0.88858,0.95223,0.75621,0.88096,0.63417,0.9875,0.0088615,0.0088615,0.0088615
25,12186.2,1.17699,0.76831,1.23277,0.92339,0.89253,0.95266,0.75625,0.88181,0.63155,0.98797,0.008812,0.008812,0.008812
26,12671.3,1.17179,0.76673,1.23138,0.9225,0.88962,0.95202,0.75484,0.88581,0.63495,0.9895,0.0087625,0.0087625,0.0087625
27,13157.5,1.16918,0.76166,1.22639,0.928,0.88646,0.95173,0.75541,0.88643,0.6389,0.98935,0.008713,0.008713,0.008713
28,13642.6,1.16814,0.76446,1.22599,0.92671,0.88583,0.95216,0.75567,0.88757,0.63889,0.98879,0.0086635,0.0086635,0.0086635
29,14128.5,1.16191,0.75703,1.22041,0.92776,0.88512,0.95269,0.75466,0.89376,0.63876,0.9899,0.008614,0.008614,0.008614
30,14614.3,1.16344,0.75468,1.21792,0.93383,0.88222,0.9528,0.75477,0.89732,0.64052,0.99059,0.0085645,0.0085645,0.0085645
31,15099.9,1.1604,0.75155,1.21905,0.9285,0.88484,0.95183,0.75387,0.89983,0.6403,0.99092,0.008515,0.008515,0.008515
32,15586.1,1.15922,0.75011,1.22053,0.9273,0.878,0.95,0.75146,0.90797,0.64536,0.99342,0.0084655,0.0084655,0.0084655
33,16072.8,1.15841,0.74932,1.21973,0.92905,0.87599,0.94997,0.74983,0.91664,0.65004,0.99644,0.008416,0.008416,0.008416
